id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
72,Lapsana communis,,3134857,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.52,4.02,6.83,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
73,Medicago lupulina,,2965201,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.76,1.89,3.78,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
74,Origanum vulgare,,2926612,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.49,2.95,5.76,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
75,Plantago major,,3189767,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.07,4.16,6.57,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
76,Pulicaria dysenterica,,3095609,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.31,1.34,4.31,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
77,Stellaria media,,5384604,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.46,0.25,4.64,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
78,Succisa pratensis,,2888811,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",5.09,4.15,6.93,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
79,Taraxacum officinale,,5394163,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.33,4.33,4.33,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
80,Taraxacum spec.,,3065,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.03,0.5,4.15,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
81,Thlaspi arvense,,3052680,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",1.38,1.21,1.82,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
82,Trifolium pratense,,8324121,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",4.34,1.95,6.37,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
83,Urtica dioica,,7960979,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.57,1.85,4.86,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
